,orig_index,Bank Group,Bank Address,CAddr,RAddr
0,1,0,2,250,F73
1,2,0,2,250,F73
2,3,1,0,0,C58
3,5,0,2,250,F73
4,6,1,0,0,C58
5,7,0,2,250,F73
6,8,0,2,250,F73
7,9,1,0,0,C58
8,11,0,2,250,F73
9,12,1,0,0,C58
10,13,0,2,250,F73
11,14,0,2,250,F73
12,15,1,0,0,C58
13,17,0,2,250,F73
14,18,1,0,0,C58
15,19,0,2,250,F73
16,20,0,2,250,F73
17,21,1,0,0,C58
18,23,0,2,250,F73
19,24,1,0,0,C58
20,25,0,2,250,F73
21,26,0,2,250,F73
22,27,1,0,0,C58
23,29,0,2,250,F73
24,30,1,0,0,C58
25,31,0,2,250,F73
26,32,1,0,0,C58
27,34,0,2,250,F73
28,35,1,0,0,C58
29,36,0,2,250,F73
30,37,0,2,250,F73
31,38,1,0,0,C58
32,40,0,2,250,F73
33,41,1,0,0,C58
34,42,0,2,250,F73
35,43,0,2,250,F73
36,44,1,0,0,C58
37,46,0,2,250,F73
38,47,1,0,0,C58
39,48,0,2,250,F73
40,49,0,2,250,F73
41,50,1,0,0,C58
42,52,0,2,250,F73
43,53,1,0,0,C58
44,54,0,2,250,F73
45,55,0,2,250,F73
46,56,1,0,0,C58
47,58,0,2,250,F73
48,59,1,0,0,C58
49,60,0,2,250,F73
50,61,0,2,250,F73
51,62,1,0,0,C58
52,64,0,2,250,F73
53,65,1,0,0,C58
54,66,0,2,250,F73
55,67,0,2,250,F73
56,68,1,0,0,C58
57,70,0,2,250,F73
58,71,1,0,0,C58
59,72,0,2,250,F73
60,73,0,2,250,F73
61,74,1,0,0,C58
62,76,0,2,250,F73
63,77,1,0,0,C58
64,78,0,2,250,F73
65,79,0,2,250,F73
66,80,1,0,0,C58
67,82,0,2,250,F73
68,83,1,0,0,C58
69,84,0,2,250,F73
70,85,0,2,250,F73
71,86,1,0,0,C58
72,88,0,2,250,F73
73,89,1,0,0,C58
74,90,0,2,250,F73
75,91,0,2,250,F73
76,92,1,0,0,C58
77,94,0,2,250,F73
78,95,1,0,0,C58
79,96,0,2,250,F73
80,97,0,2,250,F73
81,98,1,0,0,C58
82,100,0,2,250,F73
83,101,1,0,0,C58
84,102,0,2,250,F73
85,103,0,2,250,F73
86,104,1,0,0,C58
87,106,0,2,250,F73
88,107,1,0,0,C58
89,108,0,2,250,F73
90,109,0,2,250,F73
91,110,1,0,0,C58
92,112,0,2,250,F73
93,113,1,0,0,C58
94,114,0,2,250,F73
95,115,0,2,250,F73
96,116,1,0,0,C58
97,118,0,2,250,F73
98,119,1,0,0,C58
99,120,0,2,250,F73
100,121,0,2,250,F73
101,122,1,0,0,C58
102,124,0,2,250,F73
103,125,1,0,0,C58
104,126,0,2,250,F73
105,127,0,2,250,F73
106,128,1,0,0,C58
107,130,0,2,250,F73
108,131,1,0,0,C58
109,132,0,2,250,F73
110,133,0,2,250,F73
111,134,1,0,0,C58
112,136,0,2,250,F73
113,137,1,0,0,C58
114,138,0,2,250,F73
115,139,0,2,250,F73
116,140,1,0,0,C58
117,142,0,2,250,F73
118,143,1,0,0,C58
119,144,0,2,250,F73
120,145,0,2,250,F73
121,146,1,0,0,C58
122,148,0,2,250,F73
123,149,1,0,0,C58
124,150,0,2,250,F73
125,151,0,2,250,F73
126,152,1,0,0,C58
127,154,0,2,250,F73
128,155,1,0,0,C58
129,156,0,2,250,F73
130,157,0,2,250,F73
131,158,1,0,0,C58
132,160,0,2,250,F73
133,161,1,0,0,C58
134,162,0,2,250,F73
135,163,0,2,250,F73
136,164,1,0,0,C58
137,166,0,2,250,F73
138,167,1,0,0,C58
139,168,0,2,250,F73
140,169,0,2,250,F73
141,170,1,0,0,C58
142,172,0,2,250,F73
143,173,1,0,0,C58
144,174,0,2,250,F73
145,175,0,2,250,F73
146,176,1,0,0,C58
147,178,0,2,250,F73
148,179,1,0,0,C58
149,180,0,2,250,F73
150,181,0,2,250,F73
151,182,1,0,0,C58
152,184,0,2,250,F73
153,185,1,0,0,C58
154,186,0,2,250,F73
155,187,0,2,250,F73
156,188,1,0,0,C58
157,190,0,2,250,F73
158,191,1,0,0,C58
159,192,0,2,250,F73
160,193,0,2,250,F73
161,194,1,0,0,C58
162,196,0,2,250,F73
163,197,1,0,0,C58
164,198,0,2,250,F73
165,199,0,2,250,F73
166,200,1,0,0,C58
167,202,0,2,250,F73
168,203,1,0,0,C58
169,204,0,2,250,F73
170,205,0,2,250,F73
171,206,1,0,0,C58
172,208,0,2,250,F73
173,209,1,0,0,C58
174,210,0,2,250,F73
175,211,0,2,250,F73
176,212,1,0,0,C58
177,214,0,2,250,F73
178,215,1,0,0,C58
179,216,0,2,250,F73
180,217,0,2,250,F73
181,218,1,0,0,C58
182,220,0,2,250,F73
183,221,1,0,0,C58
184,222,0,2,250,F73
185,223,0,2,250,F73
186,224,1,0,0,C58
187,226,0,2,250,F73
188,227,1,0,0,C58
189,228,0,2,250,F73
190,229,0,2,250,F73
191,230,1,0,0,C58
192,232,0,2,250,F73
193,233,1,0,0,C58
194,234,0,2,250,F73
195,235,0,2,250,F73
196,236,1,0,0,C58
197,238,0,2,250,F73
198,239,1,0,0,C58
199,240,0,2,250,F73
200,241,0,2,250,F73
201,242,1,0,0,C58
202,244,0,2,250,F73
203,245,1,0,0,C58
204,246,0,2,250,F73
205,247,0,2,250,F73
206,248,1,0,0,C58
207,250,0,2,250,F73
208,251,1,0,0,C58
209,252,0,2,250,F73
